Category,Description,Nutrient Data Bank Number,Carbohydrate,Cholesterol,Choline,Protein,SugarTotal,Water,MonosaturatedFat,FatPolysaturated,SaturatedFat,Fat,Vitamin
Chocolate milk,"Chocolate milk, ready to drink, low fat (Nesquik)",11511600,10.15,5,17,3.46,9.94,84.5,0.3,0.049,0.616,1.11,52
Chocolate milk,"Chocolate milk, ready to drink, fat free (Nesquik)",11511610,13.46,2,15.6,3.39,8.39,82.34,0,0,0,0,64
Chocolate milk,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",11511700,10.15,5,17,3.46,9.94,84.5,0.3,0.049,0.616,1.11,52
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink",11512010,16.54,7,14.2,2.72,15.18,78.43,0.325,0.047,0.903,1.54,68
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",11512020,16.52,2,14.2,2.79,15.31,79.81,0.014,0.005,0.04,0.06,52
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",11512030,16.68,0,11,1.21,14.62,80.39,0.386,0.442,0.115,0.98,58
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, with whipped cream",11512100,15.89,12,14.4,2.73,14.6,77.44,0.742,0.119,1.952,3.18,84
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",11512110,15.87,8,14.4,2.79,14.72,78.76,0.445,0.079,1.13,1.77,69
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",11512120,16.02,5,11.3,1.29,14.07,79.32,0.799,0.496,1.202,2.64,74
Chocolate milk,"Chocolate milk, made from dry mix, NS as to type of milk",11513000,10.13,8,17,3.41,9.63,83.63,0.4,0.061,1.232,2.01,55
Chocolate milk,"Chocolate milk, made from dry mix with whole milk",11513100,9.94,11,16.9,3.36,9.55,82.75,0.646,0.101,1.885,3.14,30
Chocolate milk,"Chocolate milk, made from dry mix with reduced fat milk",11513150,10.16,8,17.3,3.42,9.62,83.68,0.375,0.054,1.182,1.92,78
Chocolate milk,"Chocolate milk, made from dry mix with low fat milk",11513200,10.43,5,16.5,3.45,9.69,84.25,0.197,0.03,0.673,1.03,54
Chocolate milk,"Chocolate milk, made from dry mix with fat free milk",11513300,10.14,3,17.3,3.5,9.77,85.28,0.016,0.006,0.186,0.22,60
Chocolate milk,"Chocolate milk, made from dry mix with non-dairy milk",11513310,10.32,0,12.7,1.68,8.99,85.96,0.445,0.511,0.272,1.27,66
Chocolate milk,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",11513350,7.61,8,28.7,3.59,5.86,85.52,0.499,0.141,1.114,2.1,56
Chocolate milk,"Chocolate milk, made from reduced sugar mix with whole milk",11513355,7.42,11,28.5,3.53,5.78,84.62,0.75,0.182,1.78,3.26,31
Chocolate milk,"Chocolate milk, made from reduced sugar mix with reduced fat milk",11513360,7.64,8,28.9,3.6,5.86,85.58,0.474,0.134,1.062,2.01,79
Chocolate milk,"Chocolate milk, made from reduced sugar mix with low fat milk",11513365,7.91,5,28.2,3.63,5.92,86.15,0.292,0.11,0.543,1.1,55
Chocolate milk,"Chocolate milk, made from reduced sugar mix with fat free milk",11513370,7.63,3,28.9,3.67,6.01,87.2,0.108,0.085,0.047,0.27,61
Chocolate milk,"Chocolate milk, made from reduced sugar mix with non-dairy milk",11513375,7.81,0,24.2,1.82,5.2,87.89,0.545,0.6,0.135,1.34,68
Chocolate milk,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",11513380,10.13,8,17,3.41,9.63,83.63,0.4,0.061,1.232,2.01,55
Chocolate milk,"Chocolate milk, made from dry mix with whole milk (Nesquik)",11513381,9.94,11,16.9,3.36,9.55,82.75,0.646,0.101,1.885,3.14,30
Chocolate milk,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",11513382,10.16,8,17.3,3.42,9.62,83.68,0.375,0.054,1.182,1.92,78
Chocolate milk,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",11513383,10.43,5,16.5,3.45,9.69,84.25,0.197,0.03,0.673,1.03,54
Chocolate milk,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",11513384,10.14,3,17.3,3.5,9.77,85.28,0.016,0.006,0.186,0.22,60
Chocolate milk,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",11513385,10.32,0,12.7,1.68,8.99,85.96,0.445,0.511,0.272,1.27,66
Chocolate milk,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",11513390,7.61,8,28.7,3.59,5.86,85.52,0.499,0.141,1.114,2.1,56
Chocolate milk,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",11513391,7.42,11,28.5,3.53,5.78,84.62,0.75,0.182,1.78,3.26,31
Chocolate milk,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",11513392,7.64,8,28.9,3.6,5.86,85.58,0.474,0.134,1.062,2.01,79
Chocolate milk,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",11513393,7.91,5,28.2,3.63,5.92,86.15,0.292,0.11,0.543,1.1,55
Chocolate milk,"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",11513394,7.63,3,28.9,3.67,6.01,87.2,0.108,0.085,0.047,0.27,61
Chocolate milk,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",11513395,7.81,0,24.2,1.82,5.2,87.89,0.545,0.6,0.135,1.34,68
Chocolate milk,"Chocolate milk, made from syrup, NS as to type of milk",11513400,13.18,7,15.7,2.89,12.23,81.43,0.369,0.056,1.009,1.73,51
Chocolate milk,"Chocolate milk, made from syrup with whole milk",11513500,13,10,15.5,2.84,12.16,80.62,0.596,0.094,1.612,2.77,28
Chocolate milk,"Chocolate milk, made from syrup with reduced fat milk",11513550,13.21,7,15.9,2.9,12.23,81.48,0.347,0.05,0.962,1.65,72
Chocolate milk,"Chocolate milk, made from syrup with low fat milk",11513600,13.45,4,15.2,2.93,12.29,82,0.182,0.028,0.492,0.82,50
Chocolate milk,"Chocolate milk, made from syrup with fat free milk",11513700,13.19,3,15.9,2.97,12.37,82.96,0.015,0.005,0.042,0.07,55
Chocolate milk,"Chocolate milk, made from syrup with non-dairy milk",11513750,13.36,0,11.6,1.29,11.64,83.58,0.411,0.472,0.122,1.04,61
Chocolate milk,"Chocolate milk, made from light syrup, NS as to type of milk",11513800,8.6,7,15.8,3.1,7.86,85.67,0.373,0.057,1.018,1.86,51
Chocolate milk,"Chocolate milk, made from light syrup with whole milk",11513801,8.42,10,15.7,3.04,7.79,84.85,0.602,0.094,1.627,2.92,28
Chocolate milk,"Chocolate milk, made from light syrup with reduced fat milk",11513802,8.63,7,16,3.1,7.86,85.72,0.35,0.051,0.971,1.78,73
Chocolate milk,"Chocolate milk, made from light syrup with low fat milk",11513803,8.87,4,15.3,3.13,7.92,86.24,0.184,0.028,0.497,0.95,51
Chocolate milk,"Chocolate milk, made from light syrup with fat free milk",11513804,8.61,3,16,3.18,8,87.21,0.015,0.005,0.043,0.19,56
Chocolate milk,"Chocolate milk, made from light syrup with non-dairy milk",11513805,8.78,0,11.7,1.48,7.27,87.84,0.415,0.476,0.123,1.17,62
Chocolate milk,"Chocolate milk, made from sugar free syrup, NS as to type of milk",11513850,6.04,7,15.9,3.28,4.31,87.77,0.426,0.062,1.112,2,51
Chocolate milk,"Chocolate milk, made from sugar free syrup with whole milk",11513851,5.87,10,15.8,3.23,4.24,86.94,0.655,0.1,1.72,3.05,28
Chocolate milk,"Chocolate milk, made from sugar free syrup with reduced fat milk",11513852,6.08,7,16.1,3.29,4.31,87.82,0.404,0.056,1.064,1.92,73
Chocolate milk,"Chocolate milk, made from sugar free syrup with low fat milk",11513853,6.32,4,15.4,3.32,4.37,88.34,0.237,0.033,0.59,1.08,51
Chocolate milk,"Chocolate milk, made from sugar free syrup with fat free milk",11513854,6.06,3,16.1,3.36,4.45,89.31,0.069,0.01,0.136,0.32,56
Chocolate milk,"Chocolate milk, made from sugar free syrup with non-dairy milk",11513855,6.22,0,11.8,1.66,3.72,89.94,0.468,0.481,0.217,1.31,62
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and water",11514100,11.4,0,4.5,0.91,8.93,86.5,0.18,0.016,0.324,0.55,0
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and whole milk",11514110,15.16,10,19.1,3.73,12.87,76.61,0.773,0.109,1.929,3.31,28
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",11514120,15.37,7,19.4,3.79,12.94,77.47,0.523,0.065,1.278,2.18,72
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and low fat milk",11514130,15.61,4,18.7,3.82,13,78,0.358,0.043,0.808,1.36,50
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and fat free milk",11514140,15.35,3,19.4,3.86,13.08,78.95,0.191,0.02,0.358,0.6,56
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",11514150,15.47,0,15.9,2.18,12.31,79.63,0.586,0.487,0.436,1.57,61
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",11514310,5.94,0,9.5,1.28,3.11,91.92,0.081,0.007,0.147,0.25,0
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",11514320,10.08,11,24.8,4.26,7.45,81.29,0.711,0.106,1.853,3.18,30
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",11514330,10.3,7,25.2,4.33,7.52,82.21,0.447,0.06,1.164,1.99,77
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",11514340,10.56,5,24.5,4.35,7.59,82.76,0.272,0.037,0.665,1.12,54
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",11514350,10.28,3,25.2,4.4,7.67,83.77,0.094,0.013,0.188,0.32,59
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",11514360,10.43,0,21.4,2.61,6.88,84.47,0.514,0.508,0.272,1.35,65
Strawberry milk,"Strawberry milk, NFS",11519040,5.35,8,18,3.33,5.29,88.68,0.404,0.059,1.111,1.9,81
Strawberry milk,"Strawberry milk, whole",11519050,11.82,11,16.5,3.04,11.68,81.46,0.636,0.1,1.719,2.97,30
Strawberry milk,"Strawberry milk, reduced fat",11519105,10.71,8,17.1,3.15,10.46,83.64,0.375,0.054,1.042,1.8,78
Strawberry milk,"Strawberry milk, low fat",11519200,12.3,5,16.1,3.13,11.82,82.94,0.194,0.03,0.525,0.89,54
Strawberry milk,"Strawberry milk, fat free",11519205,12.03,3,16.8,3.18,11.9,83.95,0.016,0.006,0.045,0.09,59
Strawberry milk,"Strawberry milk, reduced sugar",11519210,7.08,5,17.1,3.31,6.86,87.91,0.206,0.031,0.557,0.94,57
Strawberry milk,"Strawberry milk, non-dairy",11519215,12.2,0,12.3,1.39,11.12,84.62,0.438,0.503,0.13,1.13,65
Milk,"Milk, malted",11526000,8.67,8,17.2,3.2,7.82,85.25,0.408,0.062,1.114,1.91,115
Eggnog,Eggnog,11531000,8.05,59,52.2,4.55,8.05,82.54,1.302,0.198,2.591,4.19,59
Milk shake,"Milk shake, home recipe, chocolate",11541110,13.55,20,19.6,3.48,12.57,75.87,1.64,0.222,3.725,6.14,64
Milk shake,"Milk shake, home recipe, flavors other than chocolate",11541120,11.41,23,20.7,3.36,10.66,78.45,1.5,0.231,3.616,5.98,63
Milk shake,"Milk shake, home recipe, chocolate, light",11541130,12.93,14,18.2,3.99,12.42,79.03,0.907,0.111,2.007,3.31,63
Milk shake,"Milk shake, home recipe, flavors other than chocolate, light",11541135,13.84,13,20.5,3.88,11.07,79.07,0.591,0.099,1.408,2.33,83
Milk shake with malt,Milk shake with malt,11541400,13.66,23,22.1,3.77,12.04,75.57,1.525,0.276,3.659,6.11,63
Milk shake,"Milk shake, fast food, chocolate",11542100,20.36,23,27,3.7,13.39,68.32,1.841,0.318,4.044,6.66,89
Milk shake,"Milk shake, fast food, flavors other than chocolate",11542200,19.59,23,27.3,3.37,13.63,69.65,1.785,0.316,3.962,6.52,91
Milk shake,"Milk shake, bottled, chocolate",11543000,20.36,23,27,3.7,13.39,68.32,1.841,0.318,4.044,6.66,89
Milk shake,"Milk shake, bottled, flavors other than chocolate",11543010,19.59,23,27.3,3.37,13.63,69.65,1.785,0.316,3.962,6.52,91
Licuado or Batido,Licuado or Batido,11551050,13.1,5,13.9,2.4,10.86,82.44,0.281,0.076,0.758,1.38,38
Fruit smoothie,"Fruit smoothie, NFS",11553100,11.65,4,11.8,2.4,8.23,84.22,0.236,0.094,0.57,1.07,20
Fruit smoothie,"Fruit smoothie, with whole fruit and dairy",11553110,11.66,4,11.8,2.4,8.23,84.22,0.236,0.094,0.57,1.07,20
Fruit smoothie,"Fruit smoothie, with whole fruit and dairy, added protein",11553120,9.71,5,25.5,7.38,7.14,80.44,0.26,0.11,0.649,1.21,22
Fruit smoothie juice drink,"Fruit smoothie juice drink, with dairy",11553130,15.05,1,4,0.86,12.68,83.61,0.049,0.052,0,0.14,2
Chocolate milk drink,Chocolate milk drink,11560000,10.68,0,3.3,0.64,8.68,87.63,0.049,0.009,0.31,0.4,60
Infant formula,"Infant formula, NFS",11710000,7.12,1,15.4,1.38,7.12,87.46,1.305,0.739,1.342,3.56,59
Infant formula,"Infant formula, NS as to form (Similac Expert Care Alimentum)",11710050,6.77,1,8,1.8,4.4,87.32,0.294,1.126,1.838,3.63,59
Infant formula,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",11710051,6.77,1,8,1.8,4.4,87.32,0.294,1.126,1.838,3.63,59
